folder,building_id,baseline_demand,uncontrolled_demand,demand_management_demand,uncontrolled_scenario_name,demand_management_scenario_name,uncontrolled_diff,demand_management_diff,uncontrolled_scenario_id,demand_management_scenario_id
parquet_commercial_202512_comm_MT,184436,340391.0648520055,340391.0648520055,340391.0648520055,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184438,75696.56482927188,94790.65655892307,75696.56482927188,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",19094.09172965119,0.0,1,9
parquet_commercial_202512_comm_MT,184439,317918.83622611116,317918.83622611116,317918.83622611116,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184441,319797.7532615712,390665.19547987834,319797.7532615712,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",70867.44221830711,0.0,1,9
parquet_commercial_202512_comm_MT,184444,359244.5457622348,359244.5457622348,359244.5457622348,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184445,6206217.005987764,6206217.005987764,6206217.005987764,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184451,670534.4584433006,670534.4584433006,670534.4584433006,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184456,253618.45974979407,270077.57878970663,249938.82787773135,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",16459.119039912563,-3679.631872062717,1,2
parquet_commercial_202512_comm_MT,184457,1760112.7951656173,2262379.9859153116,1760112.7951656173,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",502267.19074969436,0.0,8,2
parquet_commercial_202512_comm_MT,184463,1096405.8534926553,1118542.3456954926,1096405.8534926553,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",22136.492202837253,0.0,1,9
parquet_commercial_202512_comm_MT,184466,2548026.0052888324,2548026.0052888324,2548026.0052888324,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184470,4110848.682551814,5040744.793028632,4110848.682551814,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",929896.1104768184,0.0,8,2
parquet_commercial_202512_comm_MT,184471,6570915.214224108,7971058.74421549,6570915.214224108,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",1400143.5299913827,0.0,8,2
parquet_commercial_202512_comm_MT,184475,101494.80576808855,156611.79025765954,101494.80576808855,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",55116.98448957098,0.0,1,9
parquet_commercial_202512_comm_MT,184476,542431.6465036877,1464113.8154057707,542431.6465036877,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",921682.168902083,0.0,8,2
parquet_commercial_202512_comm_MT,184478,354946.9795470344,454376.262728929,354946.9795470344,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",99429.28318189457,0.0,1,9
parquet_commercial_202512_comm_MT,184481,95582.56760674945,132226.4621055461,95582.56760674945,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",36643.89449879664,0.0,1,9
parquet_commercial_202512_comm_MT,184483,493915.84981311124,629055.3987509374,493915.84981311124,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",135139.54893782618,0.0,8,2
parquet_commercial_202512_comm_MT,184484,1539198.6030234394,1539198.6030234394,1539198.6030234394,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184488,745232.0037298754,745232.0037298754,745232.0037298754,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184492,95842.02043967863,95842.02043967863,95842.02043967863,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184495,1102224.3346426485,1997608.3628088364,1102224.3346426485,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",895384.0281661879,0.0,8,2
parquet_commercial_202512_comm_MT,184496,728355.3397362712,803616.5532751704,728355.3397362712,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",75261.2135388992,0.0,1,9
parquet_commercial_202512_comm_MT,184505,218343.44182719316,340038.088700064,218343.44182719316,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",121694.64687287083,0.0,8,2
parquet_commercial_202512_comm_MT,184508,2543858.0980656683,2611399.129276824,2541324.941380677,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",67541.03121115593,-2533.156684991438,1,2
parquet_commercial_202512_comm_MT,184510,833086.1510216522,1077107.4213753215,833086.1510216522,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",244021.2703536693,0.0,8,2
parquet_commercial_202512_comm_MT,184512,567990.4883635907,567990.4883635907,567990.4883635907,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184518,180424.35325537052,296302.5114494949,180424.35325537052,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",115878.15819412441,0.0,8,2
parquet_commercial_202512_comm_MT,184520,648625.4361482805,648625.4361482805,648625.4361482805,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184522,5427268.759344463,6011666.519796233,5174455.231423959,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",584397.7604517695,-252813.5279205041,1,2
