bldg_id,Occurrence_Count,Unique_Source_Files
108230,6,"['res_30.parquet', 'res_1020.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_1013.parquet', 'res_678.parquet']"
255107,5,"['res_30.parquet', 'res_1020.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_1013.parquet']"
272919,3,"['res_707.parquet', 'res_30.parquet', 'res_1013.parquet']"
384610,6,"['res_30.parquet', 'res_1020.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_1013.parquet', 'res_678.parquet']"
397002,5,"['res_30.parquet', 'res_199.parquet', 'res_1013.parquet', 'res_1115.parquet', 'res_1153.parquet']"
414605,7,"['res_30.parquet', 'res_1020.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_1013.parquet', 'res_678.parquet', 'res_707.parquet']"
445688,6,"['res_1159.parquet', 'res_30.parquet', 'res_1020.parquet', 'res_298.parquet', 'res_1013.parquet', 'res_707.parquet']"
35328,4,"['res_199.parquet', 'res_1115.parquet', 'res_30.parquet', 'res_1015.parquet']"
72554,4,"['res_967.parquet', 'res_1115.parquet', 'res_1015.parquet', 'res_1103.parquet']"
167791,5,"['res_199.parquet', 'res_1015.parquet', 'res_2.parquet', 'res_1115.parquet', 'res_1153.parquet']"
217007,3,"['res_199.parquet', 'res_1115.parquet', 'res_1015.parquet']"
220713,5,"['res_30.parquet', 'res_199.parquet', 'res_1015.parquet', 'res_1103.parquet', 'res_1115.parquet']"
246755,3,"['res_199.parquet', 'res_1115.parquet', 'res_1015.parquet']"
248020,5,"['res_199.parquet', 'res_1015.parquet', 'res_2.parquet', 'res_1115.parquet', 'res_1153.parquet']"
408443,7,"['res_740.parquet', 'res_967.parquet', 'res_977.parquet', 'res_199.parquet', 'res_1015.parquet', 'res_1103.parquet', 'res_1115.parquet']"
429240,7,"['res_740.parquet', 'res_967.parquet', 'res_977.parquet', 'res_1015.parquet', 'res_298.parquet', 'res_1103.parquet', 'res_1034.parquet']"
452995,3,"['res_199.parquet', 'res_1115.parquet', 'res_1015.parquet']"
475901,3,"['res_199.parquet', 'res_1115.parquet', 'res_1015.parquet']"
523526,3,"['res_199.parquet', 'res_1115.parquet', 'res_1015.parquet']"
525438,7,"['res_199.parquet', 'res_1015.parquet', 'res_2.parquet', 'res_460.parquet', 'res_1115.parquet', 'res_959.parquet', 'res_1153.parquet']"
5034,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
6434,6,"['res_564.parquet', 'res_450.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet']"
8132,4,"['res_298.parquet', 'res_1120.parquet', 'res_1019.parquet', 'res_1034.parquet']"
9705,3,"['res_943.parquet', 'res_1019.parquet', 'res_411.parquet']"
12522,7,"['res_128.parquet', 'res_564.parquet', 'res_450.parquet', 'res_740.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet']"
13195,4,"['res_298.parquet', 'res_427.parquet', 'res_1019.parquet', 'res_1066.parquet']"
13268,7,"['res_128.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_414.parquet', 'res_1034.parquet']"
15412,3,"['res_943.parquet', 'res_1019.parquet', 'res_411.parquet']"
17257,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
18383,4,"['res_943.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_1066.parquet']"
18702,4,"['res_165.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_1234.parquet']"
19374,6,"['res_564.parquet', 'res_740.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_1034.parquet']"
21238,7,"['res_450.parquet', 'res_740.parquet', 'res_763.parquet', 'res_1019.parquet', 'res_298.parquet', 'res_577.parquet', 'res_1034.parquet']"
23286,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
23420,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
25327,3,"['res_165.parquet', 'res_1019.parquet', 'res_1234.parquet']"
26354,4,"['res_165.parquet', 'res_1019.parquet', 'res_943.parquet', 'res_1234.parquet']"
27088,3,"['res_943.parquet', 'res_763.parquet', 'res_1019.parquet']"
28591,4,"['res_298.parquet', 'res_1081.parquet', 'res_1019.parquet', 'res_1066.parquet']"
38359,4,"['res_667.parquet', 'res_1120.parquet', 'res_1019.parquet', 'res_298.parquet']"
