Source_File,State,Matched_Buildings,Tolerance
res_224.parquet,MT,"[10778, 14800, 28314, 31500, 34599, 43052, 44017, 46991, 59118, 62548, 63328, 64084, 69392, 87541, 88623, 92195, 93869, 111769, 118112, 142033, 143261, 149272, 155028, 155191, 156064, 158072, 159510, 164151, 194222, 195762, 208538, 212024, 213745, 214774, 215932, 216907, 217379, 227544, 235368, 239044, 242234, 249373, 249482, 249629, 250953, 262694, 267760, 270090, 277210, 280693, 282869, 283073, 288603, 289335, 293470, 314390, 327595, 331303, 331937, 338826, 343012, 365913, 393831, 399269, 403636, 404634, 407406, 416336, 421586, 427310, 448131, 451045, 451931, 454222, 454505, 455963, 458539, 461518, 466157, 475326, 477816, 487485, 499681, 524525, 526207, 528669, 546357]",25
res_225.parquet,MT,"[112691, 312489, 355927, 448361]",10
res_227.parquet,MT,"[2498, 3209, 4605, 46996, 78745, 80723, 115810, 139999, 168204, 186958, 195538, 210978, 242343, 244567, 266849, 270956, 281964, 302120, 302989, 338628, 344751, 440505, 442350, 445126, 461886, 472621, 486243, 492040, 516015]",20
res_229.parquet,MT,"[90560, 214098, 317533, 488832]",5
res_231.parquet,MT,[143210],15
res_236.parquet,MT,[169549],30
res_239.parquet,MT,"[94199, 343072, 511952]",20
res_24.parquet,MT,[429139],15
res_240.parquet,MT,"[10615, 88697, 100280, 113175, 170488, 170814, 204159, 216487, 305252, 537910]",15
res_241.parquet,MT,"[6067, 90553, 189311, 261038, 431193]",20
res_245.parquet,MT,"[13693, 19379, 43604, 98207, 99076, 110418, 118797, 120236, 132306, 140071, 146221, 237138, 262114, 313289, 316244, 321643, 337190, 338533, 359333, 365710, 376680, 395319, 415874, 464253, 481187]",10
res_247.parquet,MT,"[22022, 116343, 119073, 147301, 469082]",10
res_250.parquet,MT,"[45270, 68786, 77846, 87365, 121812, 131164, 167200, 173774, 182543, 185464, 203702, 205010, 229216, 258130, 335229, 384762, 387501, 424490, 537120]",5
res_251.parquet,MT,"[153454, 153908, 225795, 255145, 276587, 278296, 336356, 339121, 438998, 547866]",20
res_257.parquet,MT,"[45917, 56220, 68236, 72339, 121900, 154367, 218794, 251530, 254017, 439221, 455900, 519339, 535363, 549539]",15
res_259.parquet,MT,"[46991, 88600, 152998, 197290, 203427, 238424, 441863, 519625]",5
res_26.parquet,MT,"[12086, 68786, 87365, 150820, 165005, 167200, 173774, 185640, 241924, 271955, 335229, 342472, 388541, 438252, 475737, 527104, 533148]",30
res_261.parquet,MT,"[19218, 129217, 411750]",10
res_263.parquet,MT,[427948],10
res_264.parquet,MT,[93871],20
res_267.parquet,MT,"[180039, 500793]",15
res_268.parquet,MT,"[14308, 107737, 108254, 235894, 326872, 330245, 372452, 388387, 529951]",20
res_271.parquet,MT,"[156849, 467265, 471837]",15
res_272.parquet,MT,"[301, 9275, 16356, 32451, 54316, 56000, 64056, 87948, 229601, 262579, 372207, 506438, 530139, 542868, 549539]",15
res_273.parquet,MT,[483905],15
res_278.parquet,MT,"[10615, 12086, 50257, 87365, 88697, 100280, 105900, 118679, 170488, 173774, 182543, 184066, 185464, 204159, 289569, 306909, 530284, 537120]",10
res_280.parquet,MT,"[119460, 543184]",15
res_282.parquet,MT,"[58337, 497166]",10
res_283.parquet,MT,"[63328, 87541, 249373]",10
res_287.parquet,MT,"[120236, 146221, 316244, 376680, 415874, 481187]",10
res_289.parquet,MT,"[61072, 160458, 225460, 260286, 264067, 401664]",15
res_290.parquet,MT,"[88697, 324393]",5
res_292.parquet,MT,"[9318, 26375, 131963, 136309, 253235, 314691]",20
res_298.parquet,MT,"[11666, 12002, 13151, 14281, 16356, 32107, 36708, 40240, 41077, 41728, 58320, 63604, 68202, 77673, 80129, 87233, 92999, 93514, 116394, 119035, 123404, 124863, 128944, 129171, 136303, 136424, 138494, 174711, 176595, 177757, 188202, 192296, 195946, 200860, 203519, 208328, 210280, 222349, 229622, 231055, 231960, 244015, 245664, 269841, 271426, 296672, 296733, 299007, 302120, 310544, 355424, 359999, 363269, 370072, 396510, 405347, 433796, 434908, 436719, 445571, 454507, 459725, 467217, 467499, 476793, 481305, 481916, 484947, 493524, 494976, 497559, 503397, 522631, 542868, 544168]",75
res_30.parquet,MT,"[40240, 195946, 355424, 454507, 459725, 467217, 467499, 476793]",10
res_303.parquet,MT,"[997, 19587, 160384, 172430, 190616, 241842, 297012, 314702, 315589, 328292, 401970, 439711, 454483, 475383, 518672]",25
res_304.parquet,MT,[264067],10
res_305.parquet,MT,"[256192, 426144]",5
res_307.parquet,MT,"[22022, 27882, 147301, 486410]",20
res_308.parquet,MT,"[3675, 35532, 48363, 71775, 172290, 184844, 281193, 285988, 364657, 404276, 468338]",30
res_310.parquet,MT,[93871],20
res_312.parquet,MT,"[107052, 281307, 337335, 392905, 458847]",15
