bldg_id,Occurrence_Count,Unique_Source_Files
22022,6,"['res_522.parquet', 'res_307.parquet', 'res_739.parquet', 'res_670.parquet', 'res_1054.parquet', 'res_247.parquet']"
27882,2,"['res_1054.parquet', 'res_307.parquet']"
58786,2,"['res_35.parquet', 'res_1054.parquet']"
78267,2,"['res_203.parquet', 'res_1054.parquet']"
116343,5,"['res_522.parquet', 'res_739.parquet', 'res_1054.parquet', 'res_247.parquet', 'res_1177.parquet']"
145700,2,"['res_35.parquet', 'res_1054.parquet']"
150255,2,"['res_35.parquet', 'res_1054.parquet']"
486410,3,"['res_203.parquet', 'res_1054.parquet', 'res_307.parquet']"
3498,1,['res_106.parquet']
116645,2,"['res_426.parquet', 'res_106.parquet']"
304771,1,['res_106.parquet']
449002,3,"['res_873.parquet', 'res_426.parquet', 'res_106.parquet']"
475702,3,"['res_719.parquet', 'res_171.parquet', 'res_106.parquet']"
58320,3,"['res_298.parquet', 'res_427.parquet', 'res_1066.parquet']"
59985,4,"['res_132.parquet', 'res_82.parquet', 'res_1066.parquet', 'res_171.parquet']"
119560,3,"['res_132.parquet', 'res_82.parquet', 'res_1066.parquet']"
200799,2,"['res_427.parquet', 'res_1066.parquet']"
223931,1,['res_1066.parquet']
227700,3,"['res_82.parquet', 'res_1066.parquet', 'res_461.parquet']"
245664,3,"['res_298.parquet', 'res_427.parquet', 'res_1066.parquet']"
286322,2,"['res_427.parquet', 'res_1066.parquet']"
327264,2,"['res_427.parquet', 'res_1066.parquet']"
329677,2,"['res_427.parquet', 'res_1066.parquet']"
362007,1,['res_1066.parquet']
395250,2,"['res_427.parquet', 'res_1066.parquet']"
416319,2,"['res_427.parquet', 'res_1066.parquet']"
433628,2,"['res_427.parquet', 'res_1066.parquet']"
42104,7,"['res_1067.parquet', 'res_581.parquet', 'res_20.parquet', 'res_7.parquet', 'res_823.parquet', 'res_362.parquet', 'res_710.parquet']"
3078,1,['res_1070.parquet']
42387,1,['res_1070.parquet']
46091,1,['res_1070.parquet']
63157,1,['res_1070.parquet']
69298,1,['res_1070.parquet']
78622,1,['res_1070.parquet']
81904,1,['res_1070.parquet']
109635,1,['res_1070.parquet']
112691,2,"['res_225.parquet', 'res_1070.parquet']"
127904,1,['res_1070.parquet']
128855,1,['res_1070.parquet']
144246,1,['res_1070.parquet']
248776,1,['res_1070.parquet']
273713,1,['res_1070.parquet']
300851,1,['res_1070.parquet']
343725,1,['res_1070.parquet']
344448,1,['res_1070.parquet']
369750,1,['res_1070.parquet']
369795,1,['res_1070.parquet']
389674,1,['res_1070.parquet']
407052,1,['res_1070.parquet']
421731,1,['res_1070.parquet']
437064,1,['res_1070.parquet']
438998,5,"['res_384.parquet', 'res_1157.parquet', 'res_209.parquet', 'res_251.parquet', 'res_1075.parquet']"
31500,9,"['res_1224.parquet', 'res_561.parquet', 'res_1079.parquet', 'res_114.parquet', 'res_224.parquet', 'res_363.parquet', 'res_850.parquet', 'res_85.parquet', 'res_1142.parquet']"
34599,9,"['res_561.parquet', 'res_314.parquet', 'res_664.parquet', 'res_363.parquet', 'res_1079.parquet', 'res_114.parquet', 'res_224.parquet', 'res_850.parquet', 'res_85.parquet']"
37490,9,"['res_561.parquet', 'res_898.parquet', 'res_197.parquet', 'res_475.parquet', 'res_491.parquet', 'res_363.parquet', 'res_1079.parquet', 'res_850.parquet', 'res_1142.parquet']"
44088,8,"['res_596.parquet', 'res_561.parquet', 'res_314.parquet', 'res_664.parquet', 'res_1079.parquet', 'res_114.parquet', 'res_181.parquet', 'res_850.parquet']"
59118,10,"['res_1224.parquet', 'res_561.parquet', 'res_314.parquet', 'res_1079.parquet', 'res_114.parquet', 'res_224.parquet', 'res_363.parquet', 'res_850.parquet', 'res_85.parquet', 'res_1142.parquet']"
62548,10,"['res_1224.parquet', 'res_561.parquet', 'res_898.parquet', 'res_197.parquet', 'res_491.parquet', 'res_1079.parquet', 'res_363.parquet', 'res_224.parquet', 'res_850.parquet', 'res_1142.parquet']"
66977,9,"['res_561.parquet', 'res_197.parquet', 'res_475.parquet', 'res_363.parquet', 'res_1079.parquet', 'res_181.parquet', 'res_850.parquet', 'res_85.parquet', 'res_1142.parquet']"
73994,11,"['res_596.parquet', 'res_561.parquet', 'res_314.parquet', 'res_475.parquet', 'res_1079.parquet', 'res_114.parquet', 'res_181.parquet', 'res_363.parquet', 'res_850.parquet', 'res_85.parquet', 'res_1142.parquet']"
92195,9,"['res_1224.parquet', 'res_561.parquet', 'res_1079.parquet', 'res_114.parquet', 'res_224.parquet', 'res_363.parquet', 'res_850.parquet', 'res_85.parquet', 'res_1142.parquet']"
